,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
7,1878,2,Female,White,39,Married,0,Middle atlantic,1,No,No,Bachelor,Business,NA,NA,none,10000,13,Working parttime,0,Private,Computer systems design and related services,75,48
132,2167,2,Male,White,52,Married,Big-city suburb,Middle atlantic,1,NA,NA,Graduate,Business,58%+,468+,Public,25000,29,Working fulltime,1,Private,"Securities, commodities, funds, trusts, and other financial investments",83,31
176,2411,2,Male,Black,24,Married,Big-city suburb,Foreign,0,NA,NA,Bachelor,Business,58%+,468+,Private,25000,31,Working fulltime,0,Government,Public finance activities,65,0
501,1680,2,Female,Other,41,Married,50000,Foreign,0,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,46,Working fulltime,0,Private,Offices of other health practitioners,46,NA
539,1735,1,Male,White,38,Married,0,E. nor. central,1,No,No,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,Miscellaneous fabricated metal products manufacturing,66,NA
663,1804,1,Male,White,5,Never married,50000,New england,1,No,No,Bachelor,Business,40-57.9%,468+,Private,25000,67,Working fulltime,0,Private, restaurants and other food services,83,NA
765,1860,1,Female,Other,20,Married,250000,Pacific,0,No,No,Bachelor,Business,NA,468+,Private,NA,24,Working parttime,1,Private,Offices of dentists,83,NA
1029,2007,2,Female,White,17,Divorced,250000,Foreign,0,NA,NA,Graduate,Business,NA,468+,Private,25000,84,Keeping house,0,Private,"Accounting, tax preparation, bookkeeping, and payroll services",46,45
1146,2071,1,Male,White,67,Divorced,NA,Foreign,0,NA,NA,Graduate,Business,0-39.9%,468+,Public,NA,1,Retired,1,NA,"Accounting, tax preparation, bookkeeping, and payroll services",83,NA
1240,2124,2,Male,White,47,Married,NA,Middle atlantic,1,No,No,Bachelor,Business,58%+,468+,Private,25000,35,Working fulltime,0,Private,"Community food and housing, and emergency services",83,24
1382,2202,2,Female,White,44,Married,250000,W. sou. central,1,No,No,Bachelor,Business,58%+,468+,Public,0,72,Working parttime,1,Private,Construction,83,0
1401,2214,1,Female,White,36,Widowed,250000,Mountain,1,NA,NA,Junior college,Business,NA,NA,none,25000,1,"Unempl, laid off",0,Private,"Accounting, tax preparation, bookkeeping, and payroll services",46,NA
1676,2365,2,Female,White,23,Married,250000,Pacific,1,No,No,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,Outpatient care centers,54,35
1680,2368,1,Female,White,10,Married,Big-city suburb,South atlantic,1,No,No,Bachelor,Business,40-57.9%,468+,Public,20000,46,Working fulltime,0,Private,Furniture and related product manufacturing,83,NA
1948,2516,2,Male,White,25,Never married,Big-city suburb,E. nor. central,1,No,No,Bachelor,Business,58%+,468+,Public,25000,43,Working fulltime,0,Private,Management of companies and enterprises,83,31
2186,106,2,Female,White,25,Separated,250000,South atlantic,1,No,No,Junior college,Business,NA,468+,Public,25000,35,Working fulltime,0,Private,Real estate,58,32
2664,372,1,Male,White,27,Married,0,South atlantic,1,No,No,Bachelor,Business,40-57.9%,468+,Public,NA,61,Working fulltime,0,Government,Public finance activities,72,NA
2976,544,1,Male,White,30,Divorced,0,W. nor. central,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,43,Working fulltime,0,Private,Banking and related activities,75,NA
2996,555,2,Female,White,43,Married,0,South atlantic,1,No,No,Junior college,Business,NA,NA,none,25000,31,Working fulltime,0,Government,Executive offices and legislative bodies,72,35
3112,620,1,Male,Black,20,Never married,50000,Mountain,1,NA,NA,Junior college,Business,NA,468+,Public,1000,84,School,0,Private,Other personal services,73,NA
3318,734,1,Male,White,44,Never married,250000,Pacific,1,No,No,Bachelor,Business,40-57.9%,468+,Public,NA,35,Working fulltime,1,Private,"Accounting, tax preparation, bookkeeping, and payroll services",83,NA
3322,737,2,Male,White,42,Divorced,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Business,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,Construction,75,25
3983,1130,2,Female,White,25,Married,250000,Foreign,0,NA,NA,Junior college,Business,NA,NA,none,NA,84,Keeping house,NA,NA,NA,1,NA
4234,1408,2,Male,White,45,Married,250000,W. sou. central,1,NA,NA,Bachelor,Business,0-39.9%,468+,Public,NA,1,Retired,0,Private,Not specified utilities,72,NA
1027,2006,1,Male,White,58,Married,0,South atlantic,1,NA,NA,Bachelor,Business,40-57.9%,468+,Public,NA,1,Retired,0,Private,"Machinery, equipment, and supplies, merchant wholesalers",62,NA
1992,2540,1,Female,White,17,Married,Big-city suburb,E. sou. central,1,No,No,Graduate,Business,0-39.9%,468+,Public,20000,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
2108,63,2,Male,Other,45,Married,250000,Middle atlantic,0,No,No,Graduate,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Data processing, hosting, and related services",86,50
2189,108,2,Female,White,25,Married,0,Foreign,0,NA,NA,Bachelor,Business,0-39.9%,468+,Private,NA,84,Keeping house,0,Government,Administration of human resource programs,46,28
