IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree
1,2014,Male,White,53,Divorced,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,60,Working fulltime,Self-employed,Private,Construction,59
1,2012,Male,White,22,Never married,Town lt 50000,New england,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",Not applicable,15,Working parttime,Someone else,Private,Advertising and related services,79
2,2012,Male,White,21,Never married,Town lt 50000,New england,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Working parttime,Someone else,Private,Construction,73
2,2014,Female,White,26,Married,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,"Metals and minerals, except petroleum, merchant wholesalers",77
3,2014,Male,White,59,Divorced,Town lt 50000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Private,"Machine shops; turned product; screw, nut, and bolt manufacturing",42
3,2012,Male,Other,42,Married,City gt 250000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,60,Working fulltime,Someone else,Private,Air transportation,96
4,2014,Female,White,56,Married,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Accounting/bookkeeping,Not applicable,Not applicable,Not applicable,$10000 - 14999,20,Working parttime,Someone else,Private,Computer systems design and related services,86
4,2012,Female,White,49,Married,Big-city suburb,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Insurance carriers and related activities,94
5,2012,Female,Black,70,Separated,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Political science,40-57.9%,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,"Justice, public order, and safety activities",55
5,2014,Female,White,74,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,Postal service,94
6,2014,Female,White,56,Married,Town lt 50000,New england,Yes,Not applicable,Not applicable,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,60,Working fulltime,Self-employed,Private,Construction,65
