GSSyear                    ,Idnum,Ballot used for interview,prestige
2012,1,Ballot a,38
2012,2,Ballot c,43
2012,3,Ballot c,75
2012,4,Ballot b,60
2012,5,Ballot b,40
2012,6,Ballot a,73
2012,7,Ballot b,31
2012,8,Ballot c,0
2012,9,Ballot a,0
2012,10,Ballot c,53
2012,11,Ballot a,49
2012,12,Ballot b,35
2012,13,Ballot c,0
2012,14,Ballot a,48
2012,15,Ballot b,21
2012,16,Ballot c,51
2012,17,Ballot b,28
2012,18,Ballot b,39
2012,19,Ballot c,25
2012,20,Ballot a,0
2012,21,Ballot c,32
2012,22,Ballot c,27
2012,23,Ballot b,31
2012,24,Ballot b,59
2012,25,Ballot b,70
2012,26,Ballot c,43
2012,27,Ballot a,47
2012,28,Ballot a,0
2012,29,Ballot b,47
2012,30,Ballot a,53
2012,31,Ballot c,60
2012,32,Ballot b,32
2012,33,Ballot b,73
2012,34,Ballot c,60
2012,35,Ballot b,31
2012,36,Ballot c,51
2012,37,Ballot a,35
2012,38,Ballot b,48
2012,39,Ballot a,32
2012,40,Ballot b,31
2012,41,Ballot c,39
2012,42,Ballot b,24
2012,43,Ballot b,39
2012,44,Ballot c,39
2012,45,Ballot c,58
2012,46,Ballot b,49
2012,47,Ballot c,61
2012,48,Ballot b,69
2012,49,Ballot b,46
2012,50,Ballot c,0
2012,51,Ballot c,37
2012,52,Ballot b,64
2012,53,Ballot a,71
2012,54,Ballot b,49
2012,55,Ballot c,64
2012,56,Ballot a,0
2012,57,Ballot c,55
2012,58,Ballot a,36
2012,59,Ballot c,48
2012,60,Ballot b,0
2012,61,Ballot a,64
2012,62,Ballot b,24
2012,63,Ballot c,25
2012,64,Ballot c,61
2012,65,Ballot a,59
2012,66,Ballot c,0
2012,67,Ballot b,24
2012,68,Ballot a,46
2012,69,Ballot b,55
2012,70,Ballot c,48
2012,71,Ballot a,61
2012,72,Ballot a,64
2012,73,Ballot c,66
2012,74,Ballot a,35
2012,75,Ballot b,39
2012,76,Ballot b,21
2012,77,Ballot c,48
2012,78,Ballot b,47
2012,79,Ballot b,63
2012,80,Ballot c,25
2012,81,Ballot b,48
2012,82,Ballot b,55
2012,83,Ballot a,58
2012,84,Ballot c,74
2012,85,Ballot b,59
2012,86,Ballot c,74
2012,87,Ballot c,35
2012,88,Ballot a,17
2012,89,Ballot c,29
2012,90,Ballot b,39
2012,91,Ballot a,64
2012,92,Ballot a,51
2012,93,Ballot b,64
2012,94,Ballot a,47
2012,95,Ballot b,45
2012,96,Ballot c,25
2012,97,Ballot c,69
2012,98,Ballot a,0
2012,99,Ballot a,35
2012,100,Ballot a,55
2012,101,Ballot b,53
2012,102,Ballot a,64
2012,103,Ballot c,0
2012,104,Ballot c,37
2012,105,Ballot b,24
2012,106,Ballot a,31
2012,107,Ballot c,48
2012,108,Ballot a,44
2012,109,Ballot b,0
2012,110,Ballot b,57
2012,111,Ballot c,51
2012,112,Ballot c,50
2012,113,Ballot a,70
2012,114,Ballot c,31
2012,115,Ballot a,48
2012,116,Ballot b,36
2012,117,Ballot a,38
2012,118,Ballot b,65
2012,119,Ballot c,39
2012,120,Ballot a,61
2012,121,Ballot b,75
2012,122,Ballot c,62
2012,123,Ballot b,70
2012,124,Ballot b,48
2012,125,Ballot b,55
2012,126,Ballot c,47
2012,127,Ballot a,67
2012,128,Ballot c,33
2012,129,Ballot b,47
2012,130,Ballot b,35
2012,131,Ballot c,65
2012,132,Ballot a,33
2012,133,Ballot b,22
2012,134,Ballot c,38
2012,135,Ballot b,43
2012,136,Ballot c,36
2012,137,Ballot b,48
2012,138,Ballot c,42
2012,139,Ballot b,60
2012,140,Ballot a,63
2012,141,Ballot c,25
2012,142,Ballot b,48
2012,143,Ballot b,28
2012,144,Ballot c,38
2012,145,Ballot c,47
2012,146,Ballot b,51
2012,147,Ballot b,48
2012,148,Ballot a,38
2012,149,Ballot c,35
2012,150,Ballot a,59
2012,151,Ballot b,28
2012,152,Ballot c,0
2012,153,Ballot a,26
2012,154,Ballot b,32
2012,155,Ballot c,33
2012,156,Ballot b,64
2012,157,Ballot c,53
2012,158,Ballot b,28
2012,159,Ballot c,65
2012,160,Ballot b,34
2012,161,Ballot c,73
2012,162,Ballot a,60
2012,163,Ballot c,51
2012,164,Ballot c,46
2012,165,Ballot b,72
2012,166,Ballot a,0
2012,167,Ballot b,28
2012,168,Ballot c,46
2012,169,Ballot b,45
2012,170,Ballot c,51
2012,171,Ballot b,46
2012,172,Ballot a,46
2012,173,Ballot c,0
2012,174,Ballot a,0
2012,175,Ballot b,0
2012,176,Ballot a,35
2012,177,Ballot b,51
2012,178,Ballot c,52
2012,179,Ballot b,61
2012,180,Ballot c,24
2012,181,Ballot a,38
2012,182,Ballot c,17
2012,183,Ballot c,26
2012,184,Ballot c,65
2012,185,Ballot b,31
2012,186,Ballot b,63
2012,187,Ballot a,63
2012,188,Ballot c,44
2012,189,Ballot c,60
2012,190,Ballot a,53
2012,191,Ballot b,35
2012,192,Ballot c,38
2012,193,Ballot a,47
2012,194,Ballot b,53
2012,195,Ballot b,32
2012,196,Ballot a,48
2012,197,Ballot b,45
2012,198,Ballot c,47
2012,199,Ballot a,48
2012,200,Ballot c,73
2012,201,Ballot c,0
2012,202,Ballot a,65
2012,203,Ballot b,48
2012,204,Ballot c,0
2012,205,Ballot b,24
2012,206,Ballot a,35
2012,207,Ballot c,59
2012,208,Ballot c,61
2012,209,Ballot a,28
2012,210,Ballot a,59
2012,211,Ballot c,44
2012,212,Ballot c,37
2012,213,Ballot c,45
2012,214,Ballot c,46
2012,215,Ballot b,64
2012,216,Ballot c,64
2012,217,Ballot b,43
2012,218,Ballot c,0
2012,219,Ballot a,30
2012,220,Ballot b,0
2012,221,Ballot c,37
2012,222,Ballot a,28
2012,223,Ballot c,0
2012,224,Ballot a,25
2012,225,Ballot a,40
2012,226,Ballot b,30
2012,227,Ballot a,69
2012,228,Ballot c,47
2012,229,Ballot b,47
2012,230,Ballot a,24
2012,231,Ballot a,32
2012,232,Ballot b,35
2012,233,Ballot c,48
2012,234,Ballot c,64
2012,235,Ballot b,38
2012,236,Ballot a,0
2012,237,Ballot a,60
2012,238,Ballot c,58
2012,239,Ballot c,64
2012,240,Ballot a,24
